N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs_v),avg(height),avg(vtkOriginalPointIds),max(Acceleration (0)),max(Acceleration (1)),max(Acceleration (2)),max(Acceleration (Magnitude)),max(Pressure),max(Velocity (0)),max(Velocity (1)),max(Velocity (2)),max(Velocity (Magnitude)),max(X),max(Y),max(Z),max(abs_v),max(height),max(vtkOriginalPointIds),med(Acceleration (0)),med(Acceleration (1)),med(Acceleration (2)),med(Acceleration (Magnitude)),med(Pressure),med(Velocity (0)),med(Velocity (1)),med(Velocity (2)),med(Velocity (Magnitude)),med(X),med(Y),med(Z),med(abs_v),med(height),med(vtkOriginalPointIds),min(Acceleration (0)),min(Acceleration (1)),min(Acceleration (2)),min(Acceleration (Magnitude)),min(Pressure),min(Velocity (0)),min(Velocity (1)),min(Velocity (2)),min(Velocity (Magnitude)),min(X),min(Y),min(Z),min(abs_v),min(height),min(vtkOriginalPointIds),q1(Acceleration (0)),q1(Acceleration (1)),q1(Acceleration (2)),q1(Acceleration (Magnitude)),q1(Pressure),q1(Velocity (0)),q1(Velocity (1)),q1(Velocity (2)),q1(Velocity (Magnitude)),q1(X),q1(Y),q1(Z),q1(abs_v),q1(height),q1(vtkOriginalPointIds),q3(Acceleration (0)),q3(Acceleration (1)),q3(Acceleration (2)),q3(Acceleration (Magnitude)),q3(Pressure),q3(Velocity (0)),q3(Velocity (1)),q3(Velocity (2)),q3(Velocity (Magnitude)),q3(X),q3(Y),q3(Z),q3(abs_v),q3(height),q3(vtkOriginalPointIds),std(Acceleration (0)),std(Acceleration (1)),std(Acceleration (2)),std(Acceleration (Magnitude)),std(Pressure),std(Velocity (0)),std(Velocity (1)),std(Velocity (2)),std(Velocity (Magnitude)),std(X),std(Y),std(Z),std(abs_v),std(height),std(vtkOriginalPointIds),Block Number,Row ID,vtkValidPointMask
29,0,0,0,0,0,0,0,0,0,0,1.5,5,0,0,5,4429,0,0,0,0,0,0,0,0,0,2.9,5,0,0,5,4849,0,0,0,0,0,0,0,0,0,1.5,5,0,0,5,4429,0,0,0,0,0,0,0,0,0,0.1,5,0,0,5,4009,0,0,0,0,0,0,0,0,0,0.75,5,0,0,5,4204,0,0,0,0,0,0,0,0,0,2.2,5,0,0,5,4639,0,0,0,0,0,0,0,0,0,0.851469,0,0,0,0,255.441,1,0,1
2,1,0,-5.10305,0,5.10341,269.544,0,-0.106332,0,0.106332,10,0.199277,0,0.000179,0.199277,9.5,0.060042,-5.10305,0,5.10341,269.544,0.000179,-0.106332,0,0.106332,19.6,0.199277,0,0.000179,0.199277,10,0,-5.10305,0,5.10341,269.544,0,-0.106332,0,0.106332,10,0.199277,0,0.000179,0.199277,9,-0.060042,-5.10305,0,5.10341,269.544,-0.000179,-0.106332,0,0.106332,0.4,0.199277,0,0.000179,0.199277,9,-0.060042,-5.10305,0,5.10341,269.544,-0.000179,-0.106332,0,0.106332,0.4,0.199277,0,0.000179,0.199277,9,0.060042,-5.10305,0,5.10341,269.544,0.000179,-0.106332,0,0.106332,19.6,0.199277,0,0.000179,0.199277,10,0.0849122,0,0,0,0,0.000253144,0,0,0,13.5765,0,0,0,0,0.707107,1,1,1
2,2,0,-5.37972,0,5.38206,660.951,0,-0.222071,0,0.222072,10,0.396975,0,0.000772,0.396975,34.5,0.15864,-5.37972,0,5.38206,660.951,0.000772,-0.222071,0,0.222072,19.5,0.396975,0,0.000772,0.396975,35,0,-5.37972,0,5.38206,660.951,0,-0.222071,0,0.222072,10,0.396975,0,0.000772,0.396975,34,-0.15864,-5.37972,0,5.38206,660.951,-0.000772,-0.222071,0,0.222072,0.499997,0.396975,0,0.000772,0.396975,34,-0.15864,-5.37972,0,5.38206,660.951,-0.000772,-0.222071,0,0.222072,0.499997,0.396975,0,0.000772,0.396975,34,0.15864,-5.37972,0,5.38206,660.951,0.000772,-0.222071,0,0.222072,19.5,0.396975,0,0.000772,0.396975,35,0.224351,0,0,0,7.07107e-07,0.00109177,0,0,0,13.435,0,0,0,0,0.707107,1,2,1
2,3,7.5e-06,-6.70779,0,6.71668,472.92,0,-0.352276,0,0.352283,10,0.693052,0,0.002168,0.693052,81.5,0.345389,-6.70775,0,6.71672,472.923,0.002168,-0.352276,0,0.352284,19.6,0.693052,0,0.002168,0.693052,82,7.5e-06,-6.70779,0,6.71668,472.92,0,-0.352276,0,0.352283,10,0.693052,0,0.002168,0.693052,81,-0.345374,-6.70783,0,6.71664,472.917,-0.002168,-0.352277,0,0.352283,0.39999,0.693052,0,0.002168,0.693052,81,-0.345374,-6.70783,0,6.71664,472.917,-0.002168,-0.352277,0,0.352283,0.39999,0.693052,0,0.002168,0.693052,81,0.345389,-6.70775,0,6.71672,472.923,0.002168,-0.352276,0,0.352284,19.6,0.693052,0,0.002168,0.693052,82,0.488443,5.79828e-05,0,5.73606e-05,0.0043183,0.00306602,7.07107e-07,0,7.07093e-07,13.5765,0,0,0,0,0.707107,1,3,1
2,4,0.0008755,-5.93274,0,5.94428,708.801,5.5e-06,-0.46225,0,0.462257,10,0.887799,0,0.0026035,0.887799,133.5,0.371135,-5.93011,0,5.94686,709.126,0.002609,-0.462234,0,0.462273,19.5,0.887799,0,0.002609,0.887799,134,0.0008755,-5.93274,0,5.94428,708.801,5.5e-06,-0.46225,0,0.462257,10,0.887799,0,0.0026035,0.887799,133,-0.369384,-5.93537,0,5.94171,708.477,-0.002598,-0.462266,0,0.462241,0.499986,0.887799,0,0.002598,0.887799,133,-0.369384,-5.93537,0,5.94171,708.477,-0.002598,-0.462266,0,0.462241,0.499986,0.887799,0,0.002598,0.887799,133,0.371135,-5.93011,0,5.94686,709.126,0.002609,-0.462234,0,0.462273,19.5,0.887799,0,0.002609,0.887799,134,0.523626,0.00372433,0,0.00363998,0.459329,0.00368191,2.26274e-05,0,2.25833e-05,13.435,0,0,7.77817e-06,0,0.707107,1,4,1
1,5,-4.16179,-6.52517,0,7.7394,287.39,-0.136181,-0.58304,0,0.598733,0.097236,4.98121,0,0.136181,4.98121,209,-4.16179,-6.52517,0,7.7394,287.39,-0.136181,-0.58304,0,0.598733,0.097236,4.98121,0,0.136181,4.98121,209,-4.16179,-6.52517,0,7.7394,287.39,-0.136181,-0.58304,0,0.598733,0.097236,4.98121,0,0.136181,4.98121,209,-4.16179,-6.52517,0,7.7394,287.39,-0.136181,-0.58304,0,0.598733,0.097236,4.98121,0,0.136181,4.98121,209,-4.16179,-6.52517,0,7.7394,287.39,-0.136181,-0.58304,0,0.598733,0.097236,4.98121,0,0.136181,4.98121,209,-4.16179,-6.52517,0,7.7394,287.39,-0.136181,-0.58304,0,0.598733,0.097236,4.98121,0,0.136181,4.98121,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
1,6,-4.24743,-5.6131,0,7.039,380.866,-0.183632,-0.671287,0,0.69595,0.095344,4.97372,0,0.183632,4.97372,285,-4.24743,-5.6131,0,7.039,380.866,-0.183632,-0.671287,0,0.69595,0.095344,4.97372,0,0.183632,4.97372,285,-4.24743,-5.6131,0,7.039,380.866,-0.183632,-0.671287,0,0.69595,0.095344,4.97372,0,0.183632,4.97372,285,-4.24743,-5.6131,0,7.039,380.866,-0.183632,-0.671287,0,0.69595,0.095344,4.97372,0,0.183632,4.97372,285,-4.24743,-5.6131,0,7.039,380.866,-0.183632,-0.671287,0,0.69595,0.095344,4.97372,0,0.183632,4.97372,285,-4.24743,-5.6131,0,7.039,380.866,-0.183632,-0.671287,0,0.69595,0.095344,4.97372,0,0.183632,4.97372,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1,7,-4.39605,-5.03191,0,6.68172,419.077,-0.232647,-0.751582,0,0.786766,0.092916,4.96537,0,0.232647,4.96537,377,-4.39605,-5.03191,0,6.68172,419.077,-0.232647,-0.751582,0,0.786766,0.092916,4.96537,0,0.232647,4.96537,377,-4.39605,-5.03191,0,6.68172,419.077,-0.232647,-0.751582,0,0.786766,0.092916,4.96537,0,0.232647,4.96537,377,-4.39605,-5.03191,0,6.68172,419.077,-0.232647,-0.751582,0,0.786766,0.092916,4.96537,0,0.232647,4.96537,377,-4.39605,-5.03191,0,6.68172,419.077,-0.232647,-0.751582,0,0.786766,0.092916,4.96537,0,0.232647,4.96537,377,-4.39605,-5.03191,0,6.68172,419.077,-0.232647,-0.751582,0,0.786766,0.092916,4.96537,0,0.232647,4.96537,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
1,8,-4.67771,-4.70275,0,6.63301,428.253,-0.284356,-0.82721,0,0.87472,0.089946,4.95625,0,0.284356,4.95625,489,-4.67771,-4.70275,0,6.63301,428.253,-0.284356,-0.82721,0,0.87472,0.089946,4.95625,0,0.284356,4.95625,489,-4.67771,-4.70275,0,6.63301,428.253,-0.284356,-0.82721,0,0.87472,0.089946,4.95625,0,0.284356,4.95625,489,-4.67771,-4.70275,0,6.63301,428.253,-0.284356,-0.82721,0,0.87472,0.089946,4.95625,0,0.284356,4.95625,489,-4.67771,-4.70275,0,6.63301,428.253,-0.284356,-0.82721,0,0.87472,0.089946,4.95625,0,0.284356,4.95625,489,-4.67771,-4.70275,0,6.63301,428.253,-0.284356,-0.82721,0,0.87472,0.089946,4.95625,0,0.284356,4.95625,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
1,9,-4.99781,-4.44129,0,6.68604,432.552,-0.339851,-0.900224,0,0.962238,0.08641,4.94641,0,0.339851,4.94641,586,-4.99781,-4.44129,0,6.68604,432.552,-0.339851,-0.900224,0,0.962238,0.08641,4.94641,0,0.339851,4.94641,586,-4.99781,-4.44129,0,6.68604,432.552,-0.339851,-0.900224,0,0.962238,0.08641,4.94641,0,0.339851,4.94641,586,-4.99781,-4.44129,0,6.68604,432.552,-0.339851,-0.900224,0,0.962238,0.08641,4.94641,0,0.339851,4.94641,586,-4.99781,-4.44129,0,6.68604,432.552,-0.339851,-0.900224,0,0.962238,0.08641,4.94641,0,0.339851,4.94641,586,-4.99781,-4.44129,0,6.68604,432.552,-0.339851,-0.900224,0,0.962238,0.08641,4.94641,0,0.339851,4.94641,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
