N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs_V),avg(height),avg(vtkOriginalPointIds),max(Acceleration (0)),max(Acceleration (1)),max(Acceleration (2)),max(Acceleration (Magnitude)),max(Pressure),max(Velocity (0)),max(Velocity (1)),max(Velocity (2)),max(Velocity (Magnitude)),max(X),max(Y),max(Z),max(abs_V),max(height),max(vtkOriginalPointIds),med(Acceleration (0)),med(Acceleration (1)),med(Acceleration (2)),med(Acceleration (Magnitude)),med(Pressure),med(Velocity (0)),med(Velocity (1)),med(Velocity (2)),med(Velocity (Magnitude)),med(X),med(Y),med(Z),med(abs_V),med(height),med(vtkOriginalPointIds),min(Acceleration (0)),min(Acceleration (1)),min(Acceleration (2)),min(Acceleration (Magnitude)),min(Pressure),min(Velocity (0)),min(Velocity (1)),min(Velocity (2)),min(Velocity (Magnitude)),min(X),min(Y),min(Z),min(abs_V),min(height),min(vtkOriginalPointIds),q1(Acceleration (0)),q1(Acceleration (1)),q1(Acceleration (2)),q1(Acceleration (Magnitude)),q1(Pressure),q1(Velocity (0)),q1(Velocity (1)),q1(Velocity (2)),q1(Velocity (Magnitude)),q1(X),q1(Y),q1(Z),q1(abs_V),q1(height),q1(vtkOriginalPointIds),q3(Acceleration (0)),q3(Acceleration (1)),q3(Acceleration (2)),q3(Acceleration (Magnitude)),q3(Pressure),q3(Velocity (0)),q3(Velocity (1)),q3(Velocity (2)),q3(Velocity (Magnitude)),q3(X),q3(Y),q3(Z),q3(abs_V),q3(height),q3(vtkOriginalPointIds),std(Acceleration (0)),std(Acceleration (1)),std(Acceleration (2)),std(Acceleration (Magnitude)),std(Pressure),std(Velocity (0)),std(Velocity (1)),std(Velocity (2)),std(Velocity (Magnitude)),std(X),std(Y),std(Z),std(abs_V),std(height),std(vtkOriginalPointIds),Block Number,Row ID,vtkValidPointMask
14,0,0,0,0,0,0,0,0,0,0,1.5,4.8,0,0,4.8,1185.5,0,0,0,0,0,0,0,0,0,2.8,4.8,0,0,4.8,1270,0,0,0,0,0,0,0,0,0,1.5,4.8,0,0,4.8,1185,0,0,0,0,0,0,0,0,0,0.2,4.8,0,0,4.8,1101,0,0,0,0,0,0,0,0,0,0.8,4.8,0,0,4.8,1140,0,0,0,0,0,0,0,0,0,2.2,4.8,0,0,4.8,1231,0,0,0,0,0,0,0,0,0,0.83666,0,0,0,0,54.3829,1,0,1
2,1,0.000118,-6.05577,0,6.05897,968.921,5e-07,-0.441505,0,0.441509,10,0.788837,0,0.0019225,0.788837,32.5,0.197001,-6.05552,0,6.05921,968.957,0.001923,-0.441503,0,0.441511,19.2,0.788837,0,0.001923,0.788837,33,0.000118,-6.05577,0,6.05897,968.921,5e-07,-0.441505,0,0.441509,10,0.788837,0,0.0019225,0.788837,32,-0.196765,-6.05602,0,6.05872,968.886,-0.001922,-0.441507,0,0.441507,0.799988,0.788837,0,0.001922,0.788837,32,-0.196765,-6.05602,0,6.05872,968.886,-0.001922,-0.441507,0,0.441507,0.799988,0.788837,0,0.001922,0.788837,32,0.197001,-6.05552,0,6.05921,968.957,0.001923,-0.441503,0,0.441511,19.2,0.788837,0,0.001923,0.788837,33,0.278435,0.000354968,0,0.000349358,0.0503036,0.00271883,2.82843e-06,0,2.82532e-06,13.0108,0,0,7.07107e-07,0,0.707107,1,1,1
1,2,-4.54795,-6.27243,0,7.74772,683.649,-0.200346,-0.894667,0,0.916825,0.194357,4.75579,0,0.200346,4.75579,113,-4.54795,-6.27243,0,7.74772,683.649,-0.200346,-0.894667,0,0.916825,0.194357,4.75579,0,0.200346,4.75579,113,-4.54795,-6.27243,0,7.74772,683.649,-0.200346,-0.894667,0,0.916825,0.194357,4.75579,0,0.200346,4.75579,113,-4.54795,-6.27243,0,7.74772,683.649,-0.200346,-0.894667,0,0.916825,0.194357,4.75579,0,0.200346,4.75579,113,-4.54795,-6.27243,0,7.74772,683.649,-0.200346,-0.894667,0,0.916825,0.194357,4.75579,0,0.200346,4.75579,113,-4.54795,-6.27243,0,7.74772,683.649,-0.200346,-0.894667,0,0.916825,0.194357,4.75579,0,0.200346,4.75579,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
1,3,-4.84193,-3.85996,0,6.19222,1121.22,-0.401826,-1.19037,0,1.25636,0.181202,4.70888,0,0.401826,4.70888,206,-4.84193,-3.85996,0,6.19222,1121.22,-0.401826,-1.19037,0,1.25636,0.181202,4.70888,0,0.401826,4.70888,206,-4.84193,-3.85996,0,6.19222,1121.22,-0.401826,-1.19037,0,1.25636,0.181202,4.70888,0,0.401826,4.70888,206,-4.84193,-3.85996,0,6.19222,1121.22,-0.401826,-1.19037,0,1.25636,0.181202,4.70888,0,0.401826,4.70888,206,-4.84193,-3.85996,0,6.19222,1121.22,-0.401826,-1.19037,0,1.25636,0.181202,4.70888,0,0.401826,4.70888,206,-4.84193,-3.85996,0,6.19222,1121.22,-0.401826,-1.19037,0,1.25636,0.181202,4.70888,0,0.401826,4.70888,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
1,4,-5.00707,-2.76701,0,5.72076,1251.38,-0.618573,-1.43283,0,1.56065,0.159931,4.65331,0,0.618573,4.65331,212,-5.00707,-2.76701,0,5.72076,1251.38,-0.618573,-1.43283,0,1.56065,0.159931,4.65331,0,0.618573,4.65331,212,-5.00707,-2.76701,0,5.72076,1251.38,-0.618573,-1.43283,0,1.56065,0.159931,4.65331,0,0.618573,4.65331,212,-5.00707,-2.76701,0,5.72076,1251.38,-0.618573,-1.43283,0,1.56065,0.159931,4.65331,0,0.618573,4.65331,212,-5.00707,-2.76701,0,5.72076,1251.38,-0.618573,-1.43283,0,1.56065,0.159931,4.65331,0,0.618573,4.65331,212,-5.00707,-2.76701,0,5.72076,1251.38,-0.618573,-1.43283,0,1.56065,0.159931,4.65331,0,0.618573,4.65331,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
1,5,-0.917432,3.81178,0,3.92063,3112.1,-0.791125,-1.54425,0,1.73511,0.131173,4.5923,0,0.791125,4.5923,143,-0.917432,3.81178,0,3.92063,3112.1,-0.791125,-1.54425,0,1.73511,0.131173,4.5923,0,0.791125,4.5923,143,-0.917432,3.81178,0,3.92063,3112.1,-0.791125,-1.54425,0,1.73511,0.131173,4.5923,0,0.791125,4.5923,143,-0.917432,3.81178,0,3.92063,3112.1,-0.791125,-1.54425,0,1.73511,0.131173,4.5923,0,0.791125,4.5923,143,-0.917432,3.81178,0,3.92063,3112.1,-0.791125,-1.54425,0,1.73511,0.131173,4.5923,0,0.791125,4.5923,143,-0.917432,3.81178,0,3.92063,3112.1,-0.791125,-1.54425,0,1.73511,0.131173,4.5923,0,0.791125,4.5923,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
1,6,-1.70554,-0.029716,0,1.7058,1880.4,-0.16206,-2.61668,0,2.6217,0.383932,4.43767,0,0.16206,4.43767,138,-1.70554,-0.029716,0,1.7058,1880.4,-0.16206,-2.61668,0,2.6217,0.383932,4.43767,0,0.16206,4.43767,138,-1.70554,-0.029716,0,1.7058,1880.4,-0.16206,-2.61668,0,2.6217,0.383932,4.43767,0,0.16206,4.43767,138,-1.70554,-0.029716,0,1.7058,1880.4,-0.16206,-2.61668,0,2.6217,0.383932,4.43767,0,0.16206,4.43767,138,-1.70554,-0.029716,0,1.7058,1880.4,-0.16206,-2.61668,0,2.6217,0.383932,4.43767,0,0.16206,4.43767,138,-1.70554,-0.029716,0,1.7058,1880.4,-0.16206,-2.61668,0,2.6217,0.383932,4.43767,0,0.16206,4.43767,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1,7,4.01607,-0.993942,0,4.13724,2804.18,0.181387,-2.45347,0,2.46017,2.20478,4.17322,0,0.181387,4.17322,246,4.01607,-0.993942,0,4.13724,2804.18,0.181387,-2.45347,0,2.46017,2.20478,4.17322,0,0.181387,4.17322,246,4.01607,-0.993942,0,4.13724,2804.18,0.181387,-2.45347,0,2.46017,2.20478,4.17322,0,0.181387,4.17322,246,4.01607,-0.993942,0,4.13724,2804.18,0.181387,-2.45347,0,2.46017,2.20478,4.17322,0,0.181387,4.17322,246,4.01607,-0.993942,0,4.13724,2804.18,0.181387,-2.45347,0,2.46017,2.20478,4.17322,0,0.181387,4.17322,246,4.01607,-0.993942,0,4.13724,2804.18,0.181387,-2.45347,0,2.46017,2.20478,4.17322,0,0.181387,4.17322,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1
1,8,1.70076,-0.270218,0,1.72209,1298.69,0.268952,-2.38451,0,2.39963,2.0117,4.0887,0,0.268952,4.0887,262,1.70076,-0.270218,0,1.72209,1298.69,0.268952,-2.38451,0,2.39963,2.0117,4.0887,0,0.268952,4.0887,262,1.70076,-0.270218,0,1.72209,1298.69,0.268952,-2.38451,0,2.39963,2.0117,4.0887,0,0.268952,4.0887,262,1.70076,-0.270218,0,1.72209,1298.69,0.268952,-2.38451,0,2.39963,2.0117,4.0887,0,0.268952,4.0887,262,1.70076,-0.270218,0,1.72209,1298.69,0.268952,-2.38451,0,2.39963,2.0117,4.0887,0,0.268952,4.0887,262,1.70076,-0.270218,0,1.72209,1298.69,0.268952,-2.38451,0,2.39963,2.0117,4.0887,0,0.268952,4.0887,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
1,9,5.14021,6.86456,0,8.57578,6312.21,0.398329,-2.43104,0,2.46346,2.22607,3.98452,0,0.398329,3.98452,301,5.14021,6.86456,0,8.57578,6312.21,0.398329,-2.43104,0,2.46346,2.22607,3.98452,0,0.398329,3.98452,301,5.14021,6.86456,0,8.57578,6312.21,0.398329,-2.43104,0,2.46346,2.22607,3.98452,0,0.398329,3.98452,301,5.14021,6.86456,0,8.57578,6312.21,0.398329,-2.43104,0,2.46346,2.22607,3.98452,0,0.398329,3.98452,301,5.14021,6.86456,0,8.57578,6312.21,0.398329,-2.43104,0,2.46346,2.22607,3.98452,0,0.398329,3.98452,301,5.14021,6.86456,0,8.57578,6312.21,0.398329,-2.43104,0,2.46346,2.22607,3.98452,0,0.398329,3.98452,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
1,10,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,2.36451,-1.19003,0,2.64709,-101.292,0.485242,-2.1117,0,2.16673,2.0392,3.91732,0,0.485242,3.91732,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1
