time,N,Time,avg(Acceleration (0)),avg(Acceleration (1)),avg(Acceleration (2)),avg(Acceleration (Magnitude)),avg(Pressure),avg(Velocity (0)),avg(Velocity (1)),avg(Velocity (2)),avg(Velocity (Magnitude)),avg(X),avg(Y),avg(Z),avg(abs),avg(height),
0.000,6,0,0,0,0,0,0,0,0,0,0,1.75,4.5,0,0,4.5,0.112359551
0.112,1,1,0.680611,-4.55981,0,4.61033,2003.18,0.015364,-1.03998,0,1.04009,3.50022,1.9344,0,0.015364,1.9344,
0.225,1,2,-4.243,-4.85341,0,6.4466,1737.92,-0.422647,-2.04474,0,2.08796,0.472476,4.25845,0,0.422647,4.25845,
0.337,1,3,5.12662,-2.81181,0,5.84709,3702.95,0.355831,-2.702,0,2.72533,3.01469,4.01045,0,0.355831,4.01045,
0.449,1,4,3.85182,-1.25942,0,4.05248,4090.81,0.842038,-2.85742,0,2.9789,3.06972,3.75688,0,0.842038,3.75688,
0.562,1,5,3.7098,6.91412,0,7.84651,7542.43,1.30321,-2.41865,0,2.7474,3.16853,3.50282,0,1.30321,3.50282,
0.674,1,6,0.60274,-0.584764,0,0.839788,4383.56,0.784853,-1.91071,0,2.06562,2.19657,3.01211,0,0.784853,3.01211,
0.787,1,7,-1.9519,4.24892,0,4.67581,1539.95,2.71565,3.0349,0,4.07252,5.09712,3.11691,0,2.71565,3.11691,
0.899,1,8,-4.15772,5.09454,0,6.57578,7471.77,2.17655,2.97058,0,3.68262,5.84776,2.7957,0,2.17655,2.7957,
1.011,1,9,-2.1531,-2.23895,0,3.10625,9364.68,2.69031,1.63654,0,3.14897,5.67441,3.578,0,2.69031,3.578,
1.124,1,10,-1.86533,-5.69209,0,5.98994,3283.49,2.64563,0.758335,0,2.75217,5.9471,3.70282,0,2.64563,3.70282,
1.236,1,11,-0.05336,-6.04075,0,6.04098,10622.8,2.44853,0.274219,0,2.46384,6.20519,3.7571,0,2.44853,3.7571,
1.348,1,12,-3.44966,-3.19596,0,4.70259,8049.77,2.35507,-0.373008,0,2.38443,6.46304,3.74974,0,2.35507,3.74974,
1.461,1,13,5.14579,-6.03604,0,7.93177,4387.32,1.96783,-0.685822,0,2.08392,6.80282,3.01216,0,1.96783,3.01216,
1.573,1,14,2.1027,-4.58444,0,5.04366,2954.87,2.47283,-1.11648,0,2.71319,7.27277,3.74847,0,2.47283,3.74847,
1.685,1,15,-4.09885,-6.98363,0,8.09764,-846.251,2.04163,-0.38632,0,2.07785,7.79231,3.56796,0,2.04163,3.56796,
1.798,1,16,-0.141221,1.74117,0,1.74689,-1522.21,1.8834,-0.654067,0,1.99374,7.99481,3.5049,0,1.8834,3.5049,
1.910,1,17,2.79789,-1.8935,0,3.37839,-4810.49,1.62851,-1.31979,0,2.09617,7.94391,3.25415,0,1.62851,3.25415,
2.022,1,18,2.15687,-5.87082,0,6.25449,2295.58,1.64492,-1.7632,0,2.41136,8.35269,3.32606,0,1.64492,3.32606,
2.135,1,19,-2.33255,-3.75615,0,4.42148,2386.43,1.72418,-2.09328,0,2.71194,8.53616,3.12131,0,1.72418,3.12131,
2.247,1,20,5.22089,-1.51427,0,5.43606,4296.99,2.08633,-0.572692,0,2.16351,9.5711,2.99322,0,2.08633,2.99322,
2.360,1,21,-2.12385,0.615065,0,2.21112,4964.34,1.86175,-0.15247,0,1.86798,11.7859,3.09741,0,1.86175,3.09741,
2.472,1,22,5.42793,-0.261339,0,5.43421,3115.04,2.02351,0.467359,0,2.07678,11.981,3.11501,0,2.02351,3.11501,
2.584,1,23,-2.86512,-5.9686,0,6.62066,1338.96,1.95779,-0.014259,0,1.95785,12.5836,3.07924,0,1.95779,3.07924,
2.697,1,24,1.18519,3.16555,0,3.38014,9540.12,1.92764,-0.616012,0,2.02368,12.4088,3.0645,0,1.92764,3.0645,
2.809,1,25,4.09532,3.29847,0,5.25848,7182.26,1.86092,0.692564,0,1.98561,14.5565,3.08879,0,1.86092,3.08879,
2.921,1,26,2.46016,-5.57267,0,6.09155,-1060.54,2.30253,-0.703267,0,2.40753,13.303,2.97268,0,2.30253,2.97268,
3.034,1,27,6.45398,0.176229,0,6.45638,5866.77,2.10279,-0.084504,0,2.10449,14.9724,3.17523,0,2.10279,3.17523,
3.146,1,28,-0.95014,0.886067,0,1.29918,5004.16,2.65217,0.429039,0,2.68664,15.234,3.19366,0,2.65217,3.19366,
3.258,1,29,-2.19423,0.781012,0,2.32909,5138.27,2.60858,1.98946,0,3.28065,18.0154,3.23157,0,2.60858,3.23157,
3.371,1,30,-2.69163,-0.344084,0,2.71353,7658.15,2.30156,2.02144,0,3.06323,18.2801,3.44933,0,2.30156,3.44933,
3.483,1,31,-10.1794,5.08738,0,11.3799,11899,1.80311,2.26486,0,2.89496,18.5093,3.67141,0,1.80311,3.67141,
3.596,1,32,-0.631502,-0.904885,0,1.10345,-1359.17,1.39176,1.58913,0,2.11242,18.0283,3.42576,0,1.39176,3.42576,
3.708,1,33,-3.19099,-1.83776,0,3.68236,3508.02,0.902664,1.39534,0,1.66186,18.7575,4.10132,0,0.902664,4.10132,
3.820,1,34,3.79607,-1.83893,0,4.21803,11621.9,0.685312,1.5458,0,1.69091,19.2002,4.14251,0,0.685312,4.14251,
3.933,1,35,-5.94008,-6.83348,0,9.05434,1998.49,0.531583,0.995716,0,1.12873,19.2756,4.28529,0,0.531583,4.28529,
4.045,1,36,-1.97272,-5.33249,0,5.68569,3507.95,0.341257,1.1953,0,1.24306,18.3491,4.11341,0,0.341257,4.11341,
4.157,1,37,-3.40639,-1.01353,0,3.55398,11955.6,-0.321402,0.001147,0,0.321404,18.8203,4.519,0,0.321402,4.519,
4.270,1,38,-2.09365,-4.19153,0,4.68533,2307.35,-0.550607,-0.181065,0,0.579614,18.7725,4.51282,0,0.550607,4.51282,
4.382,1,39,1.5256,-6.54922,0,6.72456,-1912.87,-0.60688,-0.939097,0,1.11813,18.2793,4.17491,0,0.60688,4.17491,
4.494,1,40,3.30934,-0.691759,0,3.38087,7058.52,-0.747029,-1.67078,0,1.83018,18.6094,4.29927,0,0.747029,4.29927,
4.607,1,41,-2.38551,-5.70267,0,6.18151,586.978,-1.71722,-1.79699,0,2.48556,18.0594,3.88344,0,1.71722,3.88344,
4.719,1,42,-0.240681,-3.55219,0,3.56033,2206.12,-0.64444,-2.41774,0,2.50215,18.4804,3.88934,0,0.64444,3.88934,
4.831,1,43,-4.24182,2.45166,0,4.89935,10780.4,-2.54792,-2.31887,0,3.44514,17.6275,3.40603,0,2.54792,3.40603,
4.944,1,44,0.393643,6.25373,0,6.26611,11493.7,-2.67612,-1.7756,0,3.2116,17.3414,3.1794,0,2.67612,3.1794,
5.056,1,45,-3.33441,4.5281,0,5.62334,10999.1,-0.966601,-1.9716,0,2.1958,18.2621,3.14421,0,0.966601,3.14421,
5.169,1,46,-0.803989,-2.05043,0,2.20242,358.994,-2.88829,-0.345367,0,2.90886,15.9886,3.03653,0,2.88829,3.03653,
5.281,1,47,1.29963,-1.7348,0,2.16761,7207.17,-1.92387,0.453952,0,1.9767,13.6872,3.01454,0,1.92387,3.01454,
5.393,1,48,1.47689,-1.78994,0,2.32058,6349.97,-1.77831,0.301336,0,1.80366,13.485,3.05642,0,1.77831,3.05642,
5.506,1,49,0.126453,-2.63009,0,2.63313,4554.02,-1.7281,0.066562,0,1.72939,13.2951,3.07786,0,1.7281,3.07786,
